SITO ENERGY S.R.L.,	46.0657387,	12.70024284
TIMA DI TINARELLI G. E INCISA DELLA ROCCHETTA MARTINA SOC.,	45.37434326,	8.241383694
CHIODA DOTT. PIETRO & FIGLI S.S.,	45.25733153,	9.512103906
SOCIETA' AGRICOLA BELLUCO GABRIELE & MAURO,	45.29572708,	11.93603524
MAIERO ENERGIA S.AGR.R.L.,	44.70792099,	11.82343549
MANTOVAGRICOLTURA DI BURATO FERNANDO & C. SNC,	45.08680281,	10.70014715
MANZO DANIELE,	45.35817197,	8.528122114
BIOGAS SAN VITTORIO S.R.L,	45.74746604,	12.46557431
SOCIETA' AGRICOLA CARUNA S.S.,	45.56503222,	9.950215504
SOCIETA' AGRICOLA ZOPPOLA BIOGAS SRL,	45.96300987,	12.78595885
BIORE01 S.R.L. SOCIETA' AGRICOLA A R.L.,	41.99994189,	13.45165004
DONOLA ALDO E FIGLI SOCIETA' AGRICOLA,	45.29247574,	11.94648387
TENUTA ZUCCARELLO ENERGY S.R.L. ,	45.5387049,	12.36855231
AGRIELEKTRA SRL SOC. AGR,	45.14971472,	8.896110369
SOCIETA' AGRICOLA GE.FA. SRL,	45.16881113,	8.949794134
SOCIETA' AGRICOLA AGRISORSE SRL,	45.20650614,	8.911712189
SOCIETA' AGRICOLA AGRICERERE SRL,	45.2281841,	8.837186668
BAGNOLO ENERGIA AGRICOLA RINNOVABILE SRL,	45.40271092,	10.17436609
AZIENDA AGRICOLA VALABBIO DI SISTI TOMASO,	45.47906824,	10.0703738
CA' BIANCA SOC. AGR. R.L.,	45.26800979,	10.97864444
MANTOVANELLI GIOVANNI E CAZZOLA FRANCESCA S.S.,	45.23050374,	11.10649829
MARCHINI DOMENICO & C. SOCIETA' AGRICOLA S.S.,	45.43067772,	10.1327
VIVARO BIOGAS SRL,	46.09815639,	12.78293813
VALBISSARA S.R.L.,	45.19599516,	11.07100428
SCOR UNO S.R.L. SOCIETA' AGRICOLA,	45.35242397,	9.286644444
SOCIETA' AGRICOLA PACCHIONI ACHILLE SALVATORE & FIGLIO S.S.,	45.30679559,	9.562340903
BARBAGLIO S.S. SOCIETA' AGRICOLA,	45.28372596,	9.433610977
BARBAGLIO MARCO,	45.21685627,	9.600600385
SOC.AGR.TAMAI SOC.SEMPLICE DI PORCIA E BRUGNERA CO. PAOLO & C.,	45.94559036,	12.59014261
AGRI ALP BIO ENERGY SOCIETA' COOPERATIVA AGRICOLA,	46.05016918,	11.5118893
SOC. AGR. LE MARTINENGHE DI LINETTI PIERO & C S.S.,	45.37119729,	9.900966176
VALORIZZAZIONE AMBIENTALE SRL SOCIETA' AGRICOLA,	45.17013446,	8.950933128
AZIENDA AGRICOLA BOZZATO SS,	45.25678505,	12.03903782
MIDUN STEFANO,	46.06365246,	13.07259203
FORMENTON FABIO AZIENDA AGRICOLA,	45.21427918,	12.01915191
SOCIETA' AGRICOLA TOSETTO S.S.,	45.48796267,	11.83755646
SOC. AGR. CASON DI PARAVANO FRANCO E PAOLO SS,	45.93467535,	13.17834635
LE VERDI PRATERIE S.R.L.,	43.85438896,	12.59038662
BIOAGRI S.R.L. SOCIETA' AGRICOLA DI PIVA STEFANO & C.,	45.18982685,	11.79868786
E.B.S. - ETRA BIOGAS SCHIAVON SOCIETA' AGRICOLA A R.L.,	45.6688891,	11.65481111
IL GELSO SOC. COOPERATIVA AGRICOLA A R.L.,	46.09548027,	13.10186956
CONSORZIO DI BONIFICA DELLA BARAGGIA BIELLESE E VERCELLESE,	45.46673536,	8.096194444
STALLA SOCIALE FRA VIVAISTI DI RAUSCEDO SOC. COOP. AGR.,	46.05334483,	12.83655324
SOCIETA' AGRICOLA IRACI BORGIA S.S.,	42.96722354,	12.60499167
BIOGAS BOSCO MARENGO SOCIETA' AGRICOLA R.L.,	44.82539077,	8.692361366
LA TORRE SOCIETA' COOPERATIVA AGRICOLA ZOOT.,	45.26577414,	10.98107778
TONELLO ENERGIE S.R.L. CAMPOVERDE SOCIETA' AGRICOLA SRL,	41.60908795,	12.72491782
TONELLO ENERGIE S.R.L. ECOENERGIA SOCIETA' AGRICOLA SRL,	41.57545765,	12.68870278
SOCIETA' AGRICOLA FUTURA SS,	44.97430506,	11.96289454
SOCIETA' AGRICOLA TOMBESA SNC,	45.15845036,	11.80625171
AZIENDA AGRICOLA GUZZO FRANCESCO LUCIANO E MARIO,	45.23214722,	11.99314444
SOCIETA' AGRICOLA PO DI RUZZON P. & C.,	45.01010239,	12.193425
AZIENDA AGRICOLA GUZZO MARIO & MAURIZIO E C. S.S.,	45.16991772,	12.0296405
